 (-0.1905918831834+              0j)
 (-0.1874542680333+              0j)
 (-0.177150650186+              0j)
 (-0.1591234132002+              0j)
 (-0.1340218162701+              0j)
 (-0.1027754290174+              0j)
 (-0.06394116726713+              0j)
 (-0.0212189755009+              0j)
 (0.02190787240996+              0j)
 (0.06321566519935+              0j)
 (0.1020143485445+              0j)
 (0.1345632268093+              0j)
 (0.1600804593117+              0j)
 (0.1780080995019+              0j)
 (0.1888188459658+              0j)
 (0.1924812332027+              0j)
 (0.1893984163417+              0j)
 (0.1790391816384+              0j)
 (0.1616301114708+              0j)
 (0.1369701565299+              0j)
 (0.1049824623976+              0j)
 (0.06704772474953+              0j)
 (0.02515603565923+              0j)
 (-0.01914383385332+              0j)
 (-0.06127059997153+              0j)
 (-0.09997272257164+              0j)
 (-0.1331249831985+              0j)
 (-0.1578549051922+              0j)
 (-0.1754454077193+              0j)
 (-0.1870633987636+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (              1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
 (             -1+              0j)
